Estado,PROG,DECL_VAR,CONST,FUNCOES,FUNCAO,MAIN,TIPO,NUM,NUM_INT,NUM_FLOAT,CMDS,CMD,IF,WHILE,FOR,ATR,ATR_FOR,INC,CH_FUNC,EXPR_MAT,TESTE,EXPR_REL,OP_REL,OP_LOG,OP_ART,main,if,while,for,else,+,-,id,const,=,;,(,),{,},string,return,$
57,,,,,,,,,,,,,,,,,,,,,,,,,e68,,,,,,,,,,,e71,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e72,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r29,,r29,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r30,,r30,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e73,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e74,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e75,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e79,,,,
65,,,,,,,,e51,e110,e111,,,,,,,,,,,e80,e49,,,,,,,,,,,e50,,,,,,,,,,
66,,,,,,,,e81,e110,e111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,r23,r23,r23,,,,r23,,,,,,,r23,,r23,
68,,,,,,,,e83,e110,e111,,,,,,,,,,,,,,,,,,,,,,,e82,,,,,,,,,,
69,,,,,,,,e85,e110,e111,,,,,,,,,,,,,,,,,,,,,,,e84,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,r22,r22,r22,,,,r22,,,,,,,r22,,r22,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,r26,r26,r26,,,,r26,,,,,,,r26,,r26,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,r24,r24,r24,,,,r24,,,,,,,r24,,r24,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,r28,r28,r28,,,,r28,,,,,,,r28,,r28,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e93,,,,,,,,,,
